id,log_price,score,num_review,property_type,city,lat,lon,amenities
21188095,5.521460918,100.0,8,House,SF,37.75,-122.44,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}"
21165010,4.442651256,95.0,23,House,LA,34.08,-118.6,"{""Wireless Internet"",""Wheelchair accessible"",""Free parking on premises"",""Pets live on this property"",Dog(s),Heating,Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49""}"
21106002,6.396929655,86.0,16,Apartment,NYC,40.74,-73.99,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
21054696,4.369447852,94.0,18,House,LA,33.72,-118.29,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}"
21024792,4.317488114,97.0,21,Apartment,NYC,40.71,-73.94,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Smoking allowed"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private living room""}"
20997664,4.828313737,90.0,18,House,LA,34.09,-118.26,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace""}"
20958545,4.48863637,90.0,120,Guest suite,LA,34.08,-118.32,"{Internet,""Wireless Internet"",""Air conditioning"",""Pets allowed"",""Pets live on this property"",Cat(s),Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self Check-In"",Lockbox,""Private entrance""}"
20955156,5.666426688,97.0,7,House,LA,34.15,-117.85,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Babysitter recommendations""}"
20934059,4.605170186,93.0,24,Condominium,LA,33.97,-118.43,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Elevator in building"",""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad,""Private entrance""}"
20928140,4.86753445,97.0,25,House,LA,33.99,-118.48,"{TV,""Wireless Internet"",Kitchen,""Smoking allowed"",""Pets live on this property"",Dog(s),Cat(s),""Family/kid friendly"",Washer,Dryer,""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}"
20788646,5.272999559,99.0,41,Condominium,Boston,42.37,-71.06,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",""Smart lock"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony""}"
20773540,6.856461985,98.0,12,House,LA,34.08,-118.37,"{TV,Internet,""Wireless Internet"",""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Breakfast,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Smartlock}"
20757371,4.17438727,92.0,17,Apartment,NYC,40.71,-73.95,"{""Wireless Internet"",""Air conditioning"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}"
20676044,4.382026635,92.0,35,Apartment,NYC,40.79,-73.97,"{Internet,""Wireless Internet"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron}"
20632389,4.976733742,94.0,16,Apartment,SF,37.76,-122.41,"{TV,Internet,""Wireless Internet"",Kitchen,Heating}"
20590180,5.686975356,99.0,28,Apartment,NYC,40.73,-73.98,"{TV,""Cable TV"",""Wireless Internet"",""Air conditioning"",Kitchen,""Pets allowed"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Children___s books and toys"",""Window guards"",""Babysitter recommendations"",""Children___s dinnerware"",""Game console""}"
